time|Minutes|VehicleID|DirectionText|RouteID
2014-03-11 00:39:11.276000|NA|NA|NA|NA
2014-03-11 00:39:21.513000|NA|NA|NA|NA
2014-03-11 00:39:31.774000|NA|NA|NA|NA
2014-03-11 00:39:41.944000|NA|NA|NA|NA
2014-03-11 00:39:52.253000|NA|NA|NA|NA
2014-03-11 00:40:02.499000|NA|NA|NA|NA
2014-03-11 00:40:12.780000|NA|NA|NA|NA
2014-03-11 00:40:26.011000|NA|NA|NA|NA
2014-03-11 00:40:36.206000|NA|NA|NA|NA
2014-03-11 00:40:46.403000|NA|NA|NA|NA
2014-03-11 00:40:56.617000|NA|NA|NA|NA
2014-03-11 00:41:06.800000|NA|NA|NA|NA
2014-03-11 00:41:17.001000|NA|NA|NA|NA
2014-03-11 00:41:27.207000|NA|NA|NA|NA
2014-03-11 00:41:37.462000|NA|NA|NA|NA
2014-03-11 00:41:47.755000|NA|NA|NA|NA
2014-03-11 00:41:57.964000|NA|NA|NA|NA
2014-03-11 00:42:08.176000|NA|NA|NA|NA
2014-03-11 00:42:18.382000|NA|NA|NA|NA
2014-03-11 00:42:30.892000|NA|NA|NA|NA
2014-03-11 00:42:47.259000|NA|NA|NA|NA
2014-03-11 00:43:05.321000|NA|NA|NA|NA
2014-03-11 00:43:15.728000|NA|NA|NA|NA
2014-03-11 00:43:26.702000|NA|NA|NA|NA
2014-03-11 00:43:38.105000|NA|NA|NA|NA
2014-03-11 00:43:48.362000|NA|NA|NA|NA
2014-03-11 00:43:58.558000|NA|NA|NA|NA
2014-03-11 00:44:08.779000|NA|NA|NA|NA
2014-03-11 00:44:20.951000|NA|NA|NA|NA
2014-03-11 00:44:31.181000|NA|NA|NA|NA
2014-03-11 00:44:41.500000|NA|NA|NA|NA
2014-03-11 00:44:52.028000|NA|NA|NA|NA
2014-03-11 00:45:02.427000|NA|NA|NA|NA
2014-03-11 00:45:12.724000|NA|NA|NA|NA
2014-03-11 00:45:22.983000|NA|NA|NA|NA
2014-03-11 00:45:34.456000|NA|NA|NA|NA
2014-03-11 00:45:44.813000|NA|NA|NA|NA
