time|Minutes|VehicleID|DirectionText|RouteID|TripID
2014-09-16 12:54:35.873000|79|2138|South to Federal Triangle|64|6783506
2014-09-16 12:54:46.154000|2|2132|South to Federal Triangle|64|6783502
2014-09-16 12:54:46.154000|19|2124|South to Federal Triangle|64|6783503
2014-09-16 12:54:46.154000|39|6493|South to Federal Triangle|64|6783504
2014-09-16 12:54:46.154000|59|6496|South to Federal Triangle|64|6783505
2014-09-16 12:54:46.154000|79|2138|South to Federal Triangle|64|6783506
2014-09-16 12:54:56.387000|1|2132|South to Federal Triangle|64|6783502
2014-09-16 12:54:56.387000|19|2124|South to Federal Triangle|64|6783503
2014-09-16 12:54:56.387000|39|6493|South to Federal Triangle|64|6783504
2014-09-16 12:54:56.387000|59|6496|South to Federal Triangle|64|6783505
2014-09-16 12:54:56.387000|79|2138|South to Federal Triangle|64|6783506
2014-09-16 12:55:06.683000|1|2132|South to Federal Triangle|64|6783502
2014-09-16 12:55:06.683000|18|2124|South to Federal Triangle|64|6783503
2014-09-16 12:55:06.683000|38|6493|South to Federal Triangle|64|6783504
2014-09-16 12:55:06.683000|58|6496|South to Federal Triangle|64|6783505
2014-09-16 12:55:06.683000|78|2138|South to Federal Triangle|64|6783506
2014-09-16 12:55:17.135000|1|2132|South to Federal Triangle|64|6783502
2014-09-16 12:55:17.135000|18|2124|South to Federal Triangle|64|6783503
2014-09-16 12:55:17.135000|38|6493|South to Federal Triangle|64|6783504
2014-09-16 12:55:17.135000|58|6496|South to Federal Triangle|64|6783505
2014-09-16 12:55:17.135000|78|2138|South to Federal Triangle|64|6783506
2014-09-16 12:55:27.447000|1|2132|South to Federal Triangle|64|6783502
2014-09-16 12:55:27.447000|18|2124|South to Federal Triangle|64|6783503
2014-09-16 12:55:27.447000|38|6493|South to Federal Triangle|64|6783504
2014-09-16 12:55:27.447000|58|6496|South to Federal Triangle|64|6783505
2014-09-16 12:55:27.447000|78|2138|South to Federal Triangle|64|6783506
2014-09-16 12:55:37.649000|1|2132|South to Federal Triangle|64|6783502
2014-09-16 12:55:37.649000|18|2124|South to Federal Triangle|64|6783503
2014-09-16 12:55:37.649000|38|6493|South to Federal Triangle|64|6783504
2014-09-16 12:55:37.649000|58|6496|South to Federal Triangle|64|6783505
2014-09-16 12:55:37.649000|78|2138|South to Federal Triangle|64|6783506
2014-09-16 12:55:47.930000|0|2132|South to Federal Triangle|64|6783502
2014-09-16 12:55:47.930000|18|2124|South to Federal Triangle|64|6783503
2014-09-16 12:55:47.930000|38|6493|South to Federal Triangle|64|6783504
2014-09-16 12:55:47.930000|58|6496|South to Federal Triangle|64|6783505
2014-09-16 12:55:47.930000|78|2138|South to Federal Triangle|64|6783506
2014-09-16 12:55:58.273000|0|2132|South to Federal Triangle|64|6783502
2014-09-16 12:55:58.273000|18|2124|South to Federal Triangle|64|6783503
2014-09-16 12:55:58.273000|38|6493|South to Federal Triangle|64|6783504
2014-09-16 12:55:58.273000|58|6496|South to Federal Triangle|64|6783505
2014-09-16 12:55:58.273000|78|2138|South to Federal Triangle|64|6783506
2014-09-16 12:56:08.491000|0|2132|South to Federal Triangle|64|6783502
2014-09-16 12:56:08.491000|17|2124|South to Federal Triangle|64|6783503
2014-09-16 12:56:08.491000|37|6493|South to Federal Triangle|64|6783504
2014-09-16 12:56:08.491000|57|6496|South to Federal Triangle|64|6783505
2014-09-16 12:56:08.491000|77|2138|South to Federal Triangle|64|6783506
2014-09-16 12:56:18.802000|0|2132|South to Federal Triangle|64|6783502
2014-09-16 12:56:18.802000|17|2124|South to Federal Triangle|64|6783503
2014-09-16 12:56:18.802000|37|6493|South to Federal Triangle|64|6783504
2014-09-16 12:56:18.802000|57|6496|South to Federal Triangle|64|6783505
2014-09-16 12:56:18.802000|77|2138|South to Federal Triangle|64|6783506
2014-09-16 12:56:29.037000|0|2132|South to Federal Triangle|64|6783502
2014-09-16 12:56:29.037000|17|2124|South to Federal Triangle|64|6783503
2014-09-16 12:56:29.037000|37|6493|South to Federal Triangle|64|6783504
2014-09-16 12:56:29.037000|57|6496|South to Federal Triangle|64|6783505
2014-09-16 12:56:29.037000|77|2138|South to Federal Triangle|64|6783506
2014-09-16 12:56:39.244000|17|2124|South to Federal Triangle|64|6783503
2014-09-16 12:56:39.244000|37|6493|South to Federal Triangle|64|6783504
2014-09-16 12:56:39.244000|57|6496|South to Federal Triangle|64|6783505
2014-09-16 12:56:39.244000|77|2138|South to Federal Triangle|64|6783506
2014-09-16 12:56:39.244000|97|2132|South to Federal Triangle|64|6783507
2014-09-16 12:56:49.634000|17|2124|South to Federal Triangle|64|6783503
2014-09-16 12:56:49.634000|37|6493|South to Federal Triangle|64|6783504
2014-09-16 12:56:49.634000|57|6496|South to Federal Triangle|64|6783505
2014-09-16 12:56:49.634000|77|2138|South to Federal Triangle|64|6783506
2014-09-16 12:56:49.634000|97|2132|South to Federal Triangle|64|6783507
2014-09-16 12:56:59.930000|17|2124|South to Federal Triangle|64|6783503
2014-09-16 12:56:59.930000|37|6493|South to Federal Triangle|64|6783504
2014-09-16 12:56:59.930000|57|6496|South to Federal Triangle|64|6783505
2014-09-16 12:56:59.930000|77|2138|South to Federal Triangle|64|6783506
2014-09-16 12:56:59.930000|97|2132|South to Federal Triangle|64|6783507
